target_gpu_utilization,cheap_block_pressure,restricted_gpu_share,multi_gpu_share,runs,solved_runs,median_num_jobs,median_assignment_vars,median_runtime_s,p90_runtime_s,max_runtime_s,median_mip_gap,max_mip_gap,median_first_solution_s,median_global_gpu_utilization,median_cheap_pressure,target_hit_rate,cheap_pressure_hit_rate,median_cheap_block_gpu_utilization,solve_rate
0.8,2.0,0.5,0.3,3,3,59.0,1260.0,7.00349497795105,145.41674704551698,180.02006006240845,0.0009750914593472156,0.0024705537469794014,0.21693897247314453,0.8020833333333334,2.566666666666667,1.0,1.0,0.9833333333333333,1.0
0.8,2.0,0.5,0.5,3,3,54.0,1104.0,5.6697258949279785,6.709089946746826,6.968930959701538,0.0008115001869105632,0.0009464896021498147,0.13284802436828613,0.8020833333333334,2.5166666666666666,1.0,1.0,0.9666666666666667,1.0
0.85,1.4,0.25,0.3,3,3,72.0,2004.0,8.106988906860352,59.407056999206546,72.23207402229309,0.0006237282891138755,0.0008414439300393298,1.126396894454956,0.8385416666666666,2.6,0.3333333333333333,1.0,1.0,1.0
0.85,1.4,0.25,0.5,3,3,65.0,1588.0,79.37778115272522,159.9014986515045,180.03242802619934,0.0008003222307523507,0.02127007000816753,0.3104219436645508,0.8385416666666666,2.6,0.3333333333333333,1.0,1.0,1.0
0.85,1.4,0.5,0.3,3,3,73.0,1594.0,180.01846981048584,180.02226676940919,180.02321600914001,0.0022139374237583787,0.03508387698737375,0.19154000282287598,0.8541666666666666,2.65,1.0,1.0,0.9833333333333333,1.0
0.85,1.4,0.5,0.5,3,3,63.0,1344.0,180.0208830833435,180.0217053413391,180.021910905838,0.00954711656042754,0.04681029481205038,1.2276561260223389,0.8541666666666666,2.7,1.0,1.0,0.9333333333333333,1.0
0.85,1.7,0.25,0.3,3,3,72.0,1756.0,180.02804517745972,180.03006677627565,180.03057217597961,0.0013028395990884924,0.003641066165965892,1.2409710884094238,0.84375,2.6166666666666667,0.3333333333333333,1.0,0.9833333333333333,1.0
0.85,1.7,0.25,0.5,3,3,69.0,1965.0,7.831189870834351,40.224438810348516,48.32275104522705,0.0005718676619307434,0.0009318778971675281,1.6212129592895508,0.8541666666666666,2.6333333333333333,0.6666666666666666,1.0,0.95,1.0
0.85,1.7,0.5,0.3,3,3,67.0,1589.0,13.382385015487671,64.82855868339539,77.69010210037231,0.0007685950235089327,0.0008267834816903842,0.4028198719024658,0.8489583333333334,2.683333333333333,0.3333333333333333,1.0,0.9833333333333333,1.0
0.85,1.7,0.5,0.5,3,3,64.0,1435.0,54.17880201339722,154.8612732887268,180.0318911075592,0.0008235792645024559,0.1491086030967229,0.5191771984100342,0.8541666666666666,2.65,0.6666666666666666,1.0,0.95,1.0
0.85,2.0,0.25,0.3,3,3,71.0,1962.0,180.0296471118927,180.038490152359,180.0407009124756,0.006825608682627295,0.04731848624892307,31.987272024154663,0.828125,2.65,0.3333333333333333,1.0,0.9666666666666667,1.0
0.85,2.0,0.25,0.5,3,3,57.0,1475.0,13.000907897949219,146.63187198638917,180.03961300849915,0.0009391498789857833,0.004186953453405824,3.527249813079834,0.859375,2.7333333333333334,0.6666666666666666,1.0,0.9666666666666667,1.0
0.85,2.0,0.5,0.3,3,3,72.0,1805.0,180.02022194862366,180.03361077308654,180.03695797920227,0.0025935907277659883,0.02670276966267328,3.1150240898132324,0.8489583333333334,2.6666666666666665,0.3333333333333333,1.0,1.0,1.0
0.85,2.0,0.5,0.5,3,3,68.0,1350.0,12.67022180557251,67.87615957260132,81.67764401435852,0.0009232519896075317,0.0009677552762635331,0.282883882522583,0.8541666666666666,2.716666666666667,1.0,1.0,0.9833333333333333,1.0
0.9,1.4,0.25,0.3,3,3,69.0,1978.0,147.91227984428406,173.60047278404235,180.02252101898193,0.0009897467111695535,0.012084166466854097,2.049772024154663,0.875,2.683333333333333,0.0,1.0,0.9666666666666667,1.0
0.9,1.4,0.25,0.5,3,3,73.0,1805.0,180.01754593849182,180.02407479286194,180.02570700645447,0.003981439731792759,0.02463526258927914,1.9046318531036377,0.9010416666666666,2.716666666666667,0.6666666666666666,1.0,0.9833333333333333,1.0
0.9,1.4,0.5,0.3,3,3,73.0,1685.0,180.02077198028564,180.03308315277098,180.03616094589233,0.013733588065733287,0.02785623222042709,4.6854259967803955,0.84375,2.5833333333333335,0.0,1.0,0.9666666666666667,1.0
0.9,1.4,0.5,0.5,3,3,75.0,1601.0,180.02715015411377,180.02761573791503,180.02773213386536,0.004437035017070011,0.004628507413797793,0.24688100814819336,0.9010416666666666,2.7666666666666666,0.6666666666666666,1.0,0.9833333333333333,1.0
0.9,1.7,0.25,0.3,3,3,69.0,1889.0,50.82313299179077,154.1789896965027,180.01795387268066,0.0007864177655884419,0.061462417163778586,4.643321990966797,0.859375,2.6166666666666667,0.0,1.0,0.9833333333333333,1.0
0.9,1.7,0.25,0.5,3,3,72.0,1682.0,18.12997007369995,38.107830905914305,43.102296113967896,0.00042512783238288573,0.0009094843750235211,2.3302619457244873,0.8541666666666666,2.7,0.0,1.0,0.9666666666666667,1.0
0.9,1.7,0.5,0.3,3,3,76.0,1595.0,58.062482833862305,155.63880939483644,180.03289103507996,0.0009778020500822075,0.22993735643658056,1.239912986755371,0.8645833333333334,2.6666666666666665,0.0,1.0,1.0,1.0
0.9,1.7,0.5,0.5,3,3,61.0,1430.0,123.71842789649963,168.76186394691467,180.02272295951843,0.0,0.005775679094388954,2.641873836517334,0.875,2.7666666666666666,0.0,1.0,0.9333333333333333,1.0
0.9,2.0,0.25,0.3,3,3,72.0,1955.0,161.58968305587769,195.03969659805298,203.4021999835968,0.0009798596287788714,0.006379970292829929,13.969440937042236,0.8541666666666666,2.65,0.0,1.0,0.9666666666666667,1.0
0.9,2.0,0.25,0.5,3,3,69.0,1794.0,155.75082111358643,175.17098999023438,180.02603220939636,0.0009921942405430387,0.005266078294936153,5.557311058044434,0.875,2.75,0.0,1.0,0.9333333333333333,1.0
0.9,2.0,0.5,0.3,3,3,74.0,1671.0,90.70297312736511,146.12689623832702,159.9828770160675,0.0009460217787404505,0.0009985773184443638,0.49999117851257324,0.859375,2.7333333333333334,0.0,1.0,0.9666666666666667,1.0
0.9,2.0,0.5,0.5,3,3,70.0,1510.0,180.01896214485168,180.02336926460265,180.0244710445404,0.002215700039464783,0.009050120219855712,3.8371901512145996,0.859375,2.7333333333333334,0.0,1.0,0.9166666666666666,1.0
